at,al,an,re,er_mean,er_median,er_mode,er_q1,er_q3,in_mean,in_median,in_mode,in_q1,in_q3,ti_mean,ti_median,ti_mode,ti_q1,ti_q3,on_mean,on_median,on_mode,on_q1,on_q3,es_mean,es_median,es_mode,es_q1,es_q3,te_mean,te_median,te_mode,te_q1,te_q3,en_mean,en_median,en_mode,en_q1,en_q3,is_mean,is_median,is_mode,is_q1,is_q3,ic_mean,ic_median,ic_mode,ic_q1,ic_q3,ri_mean,ri_median,ri_mode,ri_q1,ri_q3,ra_mean,ra_median,ra_mode,ra_q1,ra_q3
"[-2072272128.0, 559840768.0, 280027008.0, 158633457.7777778, 547694990.5176886]","[-2335617024.0, 279897088.0, 184097024.0, -55214950.4, 760947907.7643008]","[111864064.0, 207715072.0, 159697536.0, 158656226.46153846, 22744062.498576406]","[167254016.0, 791806976.0, 200097024.0, 246693918.72, 136737222.60277438]",159734016.0,247780864.0,192197120.0,198390905.9047619,25926968.059870493,207236864.0,535920128.0,264075776.0,272097349.8181818,56652727.75355179,-19667193088.0,207367936.0,135924992.0,-2417491234.133333,5550451370.621811,232078080.0,319896064.0,274799872.0,271363211.6363636,24870426.657706287,-6071766016.0,248587008.0,203964544.0,-897912896.0,2074458879.6711357,207663104.0,255913216.0,216871040.0,222171936.0,16129925.985032417,112134912.0,375997184.0,176377088.0,194949497.2631579,72760150.68573686,-19554668032.0,207930112.0,132253952.0,-1799274624.0,4824040874.566127,167817984.0,175945216.0,171881600.0,171881600.0,4063616.0,-7799625216.0,191789824.0,179737984.0,-1178837717.3333333,2961826433.806243,183692032.0,352205056.0,231735552.0,237832768.0,47703139.32968085
"[-55862784.0, 328000768.0, 251686016.0, 235991155.2, 75649548.75003338]","[-19240148992.0, 1735929088.0, 159883008.0, -2592002722.909091, 5956260018.094279]","[128646144.0, 327959040.0, 168043008.0, 183005982.11764705, 52122106.21194197]","[159948800.0, 312020992.0, 195983360.0, 211897234.2857143, 45760950.02907477]",159933952.0,455970048.0,215939072.0,248557981.53846154,93530149.28956154,199991040.0,502465024.0,256186880.0,266186082.0425532,42731834.69233253,-29998205952.0,184048896.0,103653120.0,-6460239798.857142,10923117033.456158,223793920.0,359874048.0,255985920.0,262373393.06666666,32256764.58159627,-1320030208.0,544128000.0,191872768.0,-50663594.666666664,573650376.6917982,104015872.0,247899136.0,224022016.0,212306129.45454547,38442948.20897119,135954176.0,895758080.0,191987968.0,238838613.33333334,180345530.78945184,-10032174080.0,287721984.0,147881472.0,-552028640.0,2462633340.663162,127965952.0,215977984.0,171971968.0,171971968.0,44006016.0,-5663607040.0,191218176.0,103983104.0,-1700581774.2222223,2451533588.9536476,207673088.0,855515136.0,223652096.0,305997952.0,208756056.25400457
"[-26463268096.0, 383876096.0, 236089984.0, -2392980940.8, 6152482786.506372]","[128089088.0, 232317952.0, 195838592.0, 188573312.0, 34919386.68971546]","[128787968.0, 447318016.0, 159876864.0, 183558866.82352942, 77061090.13173848]","[183703040.0, 495867136.0, 212030080.0, 239836544.0, 83183758.02576283]",183901952.0,375874816.0,212016512.0,246995328.0,64039360.79781334,215853824.0,1248045056.0,263941888.0,296204015.483871,175220445.77589828,-1439976960.0,175969024.0,127907968.0,-126702848.0,587640942.4738221,239600896.0,423968000.0,259915392.0,282649420.8,51432457.89250149,215790848.0,391917056.0,232199936.0,262340198.4,65261656.77600942,215973120.0,360078080.0,244084992.0,266055296.0,55556840.27444095,95948032.0,264059904.0,163950336.0,170604586.66666666,49911019.07281609,79746048.0,216073984.0,167866880.0,158151830.5882353,34302272.608314686,127806976.0,127806976.0,127806976.0,127806976.0,127806976.0,119620096.0,266052096.0,179537664.0,186759125.33333334,47482867.63416799,214383872.0,351450880.0,232497920.0,250328618.66666666,45856648.64032025
"[255262976.0, 574420992.0, 341017472.0, 373771797.3333333, 83241940.73402382]","[166834944.0, 292015872.0, 248715008.0, 245171529.14285713, 35408864.49474421]","[140667904.0, 516092928.0, 225981440.0, 244253991.3846154, 77801240.20775357]","[-5055372032.0, 574686208.0, 256421888.0, -498254779.73333335, 1489486288.9583137]",-1193773056.0,275642112.0,235194112.0,105811106.9090909,412020741.1449717,222743040.0,415725056.0,294619392.0,301599842.46153843,50476542.37028044,-13284294144.0,312062976.0,-9766559488.0,-7978887987.2,4401929046.291132,195149824.0,837022208.0,271383808.0,324368981.3333333,163232007.26400054,282411008.0,599234816.0,366946048.0,386435657.14285713,92277649.9443161,361374976.0,473040896.0,391750016.0,400538154.6666667,35875495.97465358,183721984.0,454392064.0,244135168.0,268345032.3478261,68130078.05824651,257999104.0,566344960.0,317693184.0,345404173.4736842,77543814.29622383,404795904.0,404795904.0,404795904.0,404795904.0,404795904.0,-7026316032.0,316084992.0,-4895748096.0,-4549692891.428572,2320779341.7665844,400160000.0,595619072.0,497889536.0,497889536.0,97729536.0
"[301843968.0, 407624960.0, 324563968.0, 336929689.6, 36679647.50992643]","[200155904.0, 510597888.0, 276918016.0, 305010651.4285714, 92392758.48862776]","[-13586422016.0, 604499200.0, 230032640.0, -925649523.2, 3255477230.640281]","[259228928.0, 350897920.0, 307838464.0, 304154016.0, 29390512.76038688]",-25933280000.0,349204992.0,239046912.0,-3958994176.0,9057804216.807598,-4428099072.0,1229880064.0,285085952.0,-315284068.17391306,1436931786.135262,-9227905024.0,360934144.0,218501888.0,-3605100397.714286,4493835696.622242,-16025250816.0,304088064.0,239748096.0,-1278886004.3636363,4666445567.004815,403180800.0,553105920.0,528450048.0,492207923.2,59707535.19031194,317785088.0,845201920.0,406333952.0,455897952.0,157068098.13727304,-10251570176.0,361736960.0,230450432.0,-1797881514.6666667,3753873485.569098,-17228727040.0,473043968.0,269876992.0,-1679588765.5384614,4630562502.397973,260866816.0,800670976.0,426305792.0,470267289.6,177833898.9522471,-6752806912.0,574051840.0,287814912.0,-1299351588.5714285,2746633771.1871605,288241152.0,843241984.0,381491968.0,473616768.0,224324971.82523778
"[330861056.0, 666134016.0, 352475136.0, 449823402.6666667, 153209014.5173008]","[168129024.0, 363331072.0, 320396032.0, 293153336.8888889, 56071439.122293346]","[-16319462912.0, 551672064.0, 196453504.0, -1210462425.6, 3779517319.4984264]","[264786176.0, 383958784.0, 310636416.0, 317798240.0, 42282308.53609921]",-17454735104.0,348181248.0,268182016.0,-2172207928.888889,5570227774.432999,-5328702976.0,1031714048.0,287873792.0,8245714.823529412,1345934091.1129994,-84563928064.0,346602752.0,-2471411968.0,-17901166006.857143,29174640021.98571,228100096.0,1074290944.0,275153408.0,356932838.4,243644860.0820168,328217856.0,1621989888.0,577481088.0,804337152.0,489841433.92134565,361232896.0,424076800.0,391716096.0,392726374.4,21408312.14482294,-7179032832.0,437842944.0,229894400.0,-492062080.0,2230103944.2178283,263439104.0,733954048.0,328114432.0,376170898.28571427,118973576.78353722,-42435905024.0,487209984.0,353135104.0,-10813131980.8,16638104890.23366,-22381818880.0,426424832.0,-610049024.0,-7336560310.857142,8915946024.514795,311972864.0,1301198080.0,418882048.0,516773814.85714287,325639673.6499384
"[-13326668032.0, 719877120.0, 152067072.0, -486676158.35897434, 2350603728.9164925]","[79994112.0, 295686912.0, 140089088.0, 157538483.2, 55209844.970229276]","[87887104.0, 551990016.0, 143399936.0, 153921188.2264151, 85391919.21941888]","[159751168.0, 447938048.0, 207947008.0, 214196288.0, 43181134.139115274]",-52064428032.0,455873024.0,203772032.0,-2573321896.0,9255572022.082506,128100096.0,591938816.0,199981056.0,216224396.94382024,67846752.81636177,-8943608064.0,368022016.0,105950976.0,-987817351.5294118,2354614858.0372767,112080128.0,918291968.0,207993088.0,238455130.83870968,131674111.4975428,-11367117056.0,464667136.0,184823040.0,-1419247854.3448277,2985124407.4086785,191724032.0,263990016.0,208074496.0,216855580.44444445,21834314.913895242,90610944.0,223760128.0,128031488.0,137764053.33333334,27750740.14167925,-13711321856.0,191742976.0,104137984.0,-2537834165.3333335,4242467680.6802297,-67955710976.0,191564800.0,104391936.0,-14854407168.0,22033155220.69403,-4919955968.0,183335168.0,112046080.0,-885411242.6666666,1702369357.124183,-13432169984.0,231855872.0,-2095897088.0,-3256320301.1764708,4229633799.116862
"[-15351378944.0, 295876864.0, 167543040.0, -1264612551.1111112, 3373806847.803494]","[95817984.0, 192209920.0, 144111488.0, 144592932.57142857, 29438912.913591158]","[55992832.0, 431880960.0, 132352512.0, 141640192.0, 60384758.80893386]","[168047104.0, 759980032.0, 199294976.0, 230662819.84, 121738743.9888254]",-696093952.0,239152128.0,192228864.0,140371230.72,204420378.97710875,119960064.0,256329984.0,207984000.0,207029032.96,21096450.736781728,-12479346944.0,128071168.0,-68253952.0,-1501193152.0,3429881927.3422074,79913984.0,407852800.0,207889536.0,204873888.0,67670262.67504674,-8135805952.0,367901952.0,187663104.0,-1503262630.4,2593801589.7710137,192413952.0,2343091968.0,208561920.0,353800463.0588235,500334272.32898813,95680000.0,936145920.0,128231936.0,172131139.36842105,180823454.5884702,-10023585024.0,247940864.0,-536494080.0,-1724778062.7692308,2785423744.3101845,-42214848000.0,200109056.0,-1052233472.0,-10158720537.6,15226123137.399998,-6287776000.0,152079104.0,87953536.0,-1275936490.6666667,2066413458.8918693,-9878930944.0,295874048.0,163967360.0,-1211146096.0,2772988863.0221457
"[-3328369152.0, 215796224.0, 152058496.0, -193389414.4, 874338758.8853666]","[79955968.0, 240142080.0, 128051968.0, 141735094.85714287, 46461914.384303056]","[72005120.0, 256002816.0, 111899904.0, 120502374.4, 41751293.11789719]","[175292928.0, 343853056.0, 199872000.0, 214160822.85714287, 41491408.31056309]",-7094776064.0,440025856.0,199960064.0,-296343567.0588235,1718820612.2784111,167723008.0,328421120.0,207481984.0,214996443.42857143,32169358.9298446,71318016.0,143885056.0,103872512.0,107795840.0,25350137.791888073,111969024.0,329282048.0,188393088.0,186620544.0,59278796.5933772,-10624332032.0,199953920.0,-747923584.0,-2331261696.0,3416641432.4888787,111972096.0,247704064.0,207910528.0,201640704.0,29746304.689865865,95935232.0,1160028928.0,132206464.0,220548757.33333334,284828528.84328806,-8263700992.0,136037888.0,-1372339968.0,-2440854604.8,2805485309.1147914,-15758921984.0,160039936.0,147662848.0,-3825889088.0,6889546623.586598,111535104.0,752076800.0,143774976.0,245680640.0,227973359.34907582,-2400536064.0,223951872.0,175256960.0,-85066880.0,773952105.6139306
"[-7255333120.0, 353432064.0, 196688128.0, -616466052.7407408, 1889802996.871608]","[152320000.0, 337579008.0, 209159040.0, 215426752.0, 44494538.99541357]","[-3260105984.0, 269136896.0, 198164096.0, -35098524.44444445, 802522752.8607038]","[132019968.0, 300278016.0, 189184896.0, 196432000.0, 37382118.1134701]",-32745061120.0,314196992.0,230142464.0,-2652500377.6,7285566609.8377905,227905792.0,295013888.0,246726528.0,254162071.27272728,21148431.74215963,-27323238912.0,214886912.0,148764928.0,-3745705262.5454545,8035664249.867023,192141824.0,369807104.0,237848064.0,245386827.29411766,36956902.71442639,-583665920.0,721295104.0,283367424.0,276748432.0,250483283.48351973,135399168.0,330558976.0,223488128.0,220694643.2,46382866.029801056,102544128.0,259924224.0,198487040.0,201575713.39130434,41558950.88939296,-23633544960.0,1909344256.0,97029888.0,-3988051692.3076925,6476088740.070959,162576128.0,183047168.0,172811648.0,172811648.0,10235520.0,-56747640832.0,-6032058880.0,-20081061120.0,-24981975076.57143,18621520343.361977,-30637153024.0,294521088.0,235632896.0,-2707751540.3636365,8844299538.039589
"[-14445996032.0, 615300096.0, 173435904.0, -530522490.4347826, 2989716271.7394905]","[158766080.0, 500567040.0, 204588032.0, 226652763.42857143, 80399987.26739855]","[136744192.0, 469260032.0, 200670976.0, 210703462.4, 75667687.90382738]","[150742016.0, 315621120.0, 188370944.0, 194374105.6, 38800179.56474289]",-14375770880.0,330865152.0,214555520.0,-577336277.3333334,3346922758.7251883,222291200.0,297964032.0,240804864.0,248543277.17647058,23256297.56081465,-9839399936.0,175127040.0,-1631615232.0,-4017893725.090909,4193352546.996925,192904960.0,552869120.0,252518144.0,274814788.26666665,88964888.03689669,250646016.0,485487104.0,273556992.0,293169801.84615386,60370441.001301326,151610880.0,260449024.0,216229888.0,212955332.92307693,34470042.99718319,90042112.0,835524864.0,175781504.0,222536832.0,174130754.89951935,-7245268992.0,242283008.0,153708544.0,-415072853.3333333,1919620501.409866,279851008.0,279851008.0,279851008.0,279851008.0,279851008.0,-20647120896.0,190099968.0,-7513725952.0,-8220985753.6,6903472089.404289,-1704384000.0,254583040.0,185382912.0,-277784283.4285714,772418567.24233
"[-2184839936.0, 283150080.0, 223441024.0, 50540339.2, 531817650.86910653]","[125100032.0, 204715008.0, 170452480.0, 168653363.2, 21603966.67482331]","[132412928.0, 243611136.0, 189640960.0, 190072106.66666666, 33548717.984533265]","[145526016.0, 239808000.0, 181360512.0, 186391731.2, 24420815.20635501]",-15451328000.0,332837888.0,226298112.0,-966632482.9090909,3877634551.047227,209824000.0,317640192.0,242757888.0,250034778.3529412,37090851.26836419,-9495120896.0,5321025792.0,155220992.0,-363423943.1111111,3613489025.5744014,185259008.0,404822016.0,244591872.0,246930688.0,51110544.72428581,-4013220864.0,308505856.0,270222592.0,-86340501.33333333,1184137984.1397157,141282048.0,565292032.0,230916864.0,251795651.7647059,92175371.34303027,119396864.0,252573184.0,200086016.0,195580416.0,36665269.504358344,-12295526144.0,325539840.0,138809856.0,-2014974825.4117646,3777673813.099034,136994048.0,200169984.0,172612992.0,170597504.0,24672071.83296417,-51412596992.0,212411904.0,196600832.0,-17001194752.0,24332536730.200123,-36647496960.0,278906880.0,-370215552.0,-6493531488.0,11855877607.320904
"[-5615255040.0, 535972096.0, 360078080.0, -267484074.66666666, 1892383476.6688657]","[151857920.0, 504037888.0, 203953536.0, 234387353.6, 95444120.06236]","[151787008.0, 288178944.0, 209305088.0, 212986781.53846154, 36724513.03771278]","[151908864.0, 1023709952.0, 192044544.0, 255402989.7142857, 216232420.64785668]",143922944.0,936307968.0,223848960.0,289493271.27272725,210703481.82662275,231356160.0,503928064.0,263913984.0,279185968.7619048,61961868.95127597,135940096.0,440172032.0,188075008.0,228037504.0,104353164.28357215,233116160.0,511965184.0,303397888.0,315273352.53333336,64907892.54683145,-7607699200.0,264165888.0,183632000.0,-1031978393.6,2383150730.9307404,167353856.0,560013056.0,263845888.0,271825826.90909094,111387015.7626959,168100096.0,823927040.0,215950976.0,275279978.6666667,170588187.31212804,143959040.0,695794176.0,196299008.0,246396441.6,154281281.9339772,-1040026112.0,-1040026112.0,-1040026112.0,-1040026112.0,-1040026112.0,143268864.0,704042240.0,219976960.0,278131660.8,156405597.4647546,303320064.0,327354112.0,303884032.0,311519402.6666667,11199197.284615874
"[175878912.0, 927894016.0, 312027136.0, 380546742.85714287, 234299668.8757384]","[143916800.0, 471968000.0, 235967616.0, 272604224.0, 106842461.58400257]","[-3663947008.0, 1583955968.0, 195979008.0, -365218230.85714287, 1406735711.9466615]","[-1575964928.0, 351941120.0, 215803520.0, -22136352.0, 608689065.5188508]",175424000.0,431902208.0,224290560.0,246340044.8,73917900.08704524,-19207528960.0,1431845888.0,243910656.0,-1017306894.2222222,4511214489.578148,151755008.0,511855104.0,239280896.0,268259925.33333334,104343006.81590286,-1871821056.0,519949056.0,311867136.0,205148732.2352941,523839023.7657266,151960064.0,516716062976.0,196076032.0,64787609888.0,170812931871.10986,-9040043776.0,463888128.0,215946880.0,-830481024.0,2766360830.986725,-3919976960.0,296098048.0,191810432.0,-362001600.0,1174205665.1940901,168016896.0,424057088.0,223233024.0,251284260.57142857,78767837.95883009,279696896.0,1503993088.0,431955456.0,586642773.3333334,421687427.63926846,176017920.0,335810816.0,239900928.0,238296320.0,55949414.2708242,631851008.0,631851008.0,631851008.0,631851008.0,631851008.0
"[-2031877888.0, 359983104.0, 352009984.0, -164725964.8, 937137142.981152]","[160076032.0, 359980800.0, 236024064.0, 247998784.0, 73758523.76036647]","[128008192.0, 248073984.0, 191922048.0, 186606720.0, 39369395.68609804]","[143975936.0, 407389952.0, 223901952.0, 246620245.33333334, 86608770.96671921]",151954944.0,320066048.0,211959296.0,220867072.0,56783865.28042086,224036096.0,656023040.0,271917056.0,307337728.0,93821730.31802478,-15071456000.0,335935232.0,184540928.0,-3749261568.0,5922618825.71526,240111104.0,624756992.0,319981440.0,341159094.85714287,91302003.25617304,160059904.0,2199691008.0,207913984.0,547886805.3333334,741401865.3237619,160337920.0,488056064.0,280112512.0,284174208.0,105164861.88479841,127383040.0,320050176.0,223879040.0,220580838.4,53286913.80550518,175876096.0,728014080.0,208015104.0,334810221.71428573,203613630.73889527,320599040.0,1769780992.0,457213952.0,689012224.0,543128566.7008451,143920896.0,768065792.0,199957248.0,305590579.2,232697784.77414337,247845120.0,1303885824.0,327917056.0,626549333.3333334,480063481.86128724
